Frequency (GHz)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 10 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 11 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 12 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 13 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 14 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 15 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 16 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 17 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 18 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 19 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 20 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 21 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 22 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 23 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 24 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 25 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 10 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 11 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 12 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 13 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 14 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 15 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 16 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 17 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 18 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 19 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 20 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 21 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 22 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 23 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 24 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 25 dBm)
6.3	100.629	101.356	101.992	102.628	103.25	103.906	104.596	105.319	106.131	106.955	107.764	108.458	109.152	110.125	110.83	111.24	155.583	156.317	156.96	157.603	158.234	158.9	159.602	160.338	161.167	162.009	162.84	163.559	164.28	165.286	166.024	166.471
6.4	90.6587	91.5088	92.3183	93.0892	93.8283	94.4987	95.1768	95.8744	96.5977	97.411	98.2728	99.1564	100.3	101.292	101.806	102.128	146.303	147.159	147.975	148.752	149.499	150.176	150.862	151.569	152.304	153.131	154.009	154.913	156.081	157.095	157.627	157.971
6.5	80.0396	80.9148	81.7394	82.5545	83.3953	84.2622	85.0698	85.7635	86.4428	87.1658	87.9679	88.8645	90.2262	91.5782	92.3286	92.6356	136.371	137.25	138.078	138.898	139.744	140.617	141.43	142.13	142.815	143.545	144.357	145.266	146.644	148.012	148.774	149.088
6.6	68.0813	68.9489	69.7656	70.5774	71.399	72.2477	73.1347	74.0911	75.0007	75.759	76.4614	77.2649	78.7079	80.0812	81.0141	81.7796	125.288	126.158	126.976	127.789	128.613	129.464	130.354	131.314	132.228	132.988	133.693	134.499	135.947	137.324	138.257	139.023
6.7	55.0618	56.0832	57.0095	57.8569	58.6412	59.4455	60.283	61.1548	62.096	63.0674	64.0313	64.8608	66.2677	67.5661	68.4674	69.2075	113.131	114.154	115.08	115.927	116.71	117.513	118.35	119.22	120.16	121.131	122.093	122.918	124.317	125.604	126.49	127.212
6.8	41.483	42.4973	43.4558	44.3644	45.2399	46.0357	46.7723	47.5319	48.3348	49.236	50.202	51.2733	53.0599	54.252	55.0774	55.7847	100.413	101.425	102.382	103.288	104.161	104.952	105.684	106.437	107.232	108.126	109.083	110.143	111.914	113.08	113.874	114.545
6.9	27.842	28.7794	29.6692	30.5348	31.4099	32.2801	33.0917	33.7907	34.4843	35.2297	36.0681	37.0626	39.0379	40.5841	41.3329	42.0391	87.6434	88.5764	89.4618	90.3222	91.1916	92.0551	92.8582	93.546	94.2265	94.9567	95.7777	96.7512	98.6997	100.21	100.91	101.561
7	14.5277	15.3907	16.2349	17.0486	17.8582	18.6667	19.5076	20.308	20.9733	21.6158	22.3279	23.2346	25.2092	26.8382	27.9449	28.6169	75.2343	76.0901	76.9268	77.7322	78.5323	79.33	80.1583	80.9439	81.5903	82.2101	82.8954	83.7703	85.7033	87.2807	88.325	88.9198
7.1	2.03446	2.90089	3.69421	4.46434	5.21047	5.96587	6.73574	7.5541	8.32371	8.95727	9.55367	10.3412	12.2493	13.8551	15.1392	16.1006	63.8407	64.6969	65.4791	66.2371	66.9694	67.709	68.4607	69.2585	70.0036	70.6068	71.1661	71.909	73.7587	75.294	76.4959	77.3593
7.2	-8.81034	-7.91695	-7.14273	-6.40545	-5.70231	-4.98621	-4.2602	-3.4949	-2.7058	-1.95021	-1.3281	-0.5827	1.23947	2.78044	4.03153	5.26092	54.1535	55.033	55.7918	56.5122	57.196	57.89	58.5907	59.3272	60.0832	60.7992	61.3721	62.0567	63.7985	65.2453	66.3869	67.4903
7.3	-17.2706	-16.3466	-15.5265	-14.7936	-14.1097	-13.429	-12.7362	-12.0306	-11.2507	-10.4477	-9.64204	-8.70278	-6.94791	-5.51963	-4.30223	-3.09576	46.9781	47.8834	48.6829	49.3928	50.05	50.7004	51.3584	52.0242	52.7587	53.5082	54.2494	55.1072	56.753	58.0555	59.1279	60.1667
7.4	-21.9384	-20.9924	-20.1301	-19.3276	-18.5748	-17.9059	-17.2385	-16.5478	-15.8125	-14.9883	-14.1288	-12.775	-10.8916	-9.57943	-8.38055	-7.18731	43.8454	44.7664	45.6014	46.3732	47.0907	47.7183	48.3385	48.9753	49.6483	50.3998	51.1724	52.4178	54.1576	55.3018	56.3082	57.279
7.5	-20.1412	-19.1962	-18.2889	-17.3824	-16.4973	-15.6438	-14.8934	-14.1764	-13.4295	-12.621	-11.7316	-10.133	-7.97227	-6.58206	-5.40941	-4.14249	47.526	48.4396	49.3126	50.1806	51.022	51.8249	52.5157	53.1633	53.8296	54.5439	55.3222	56.7804	58.7658	59.9451	60.8708	61.8556
7.6	-9.25105	-8.30178	-7.35746	-6.42664	-5.47196	-4.49653	-3.48036	-2.53595	-1.71897	-0.900544	0.00590524	1.80008	4.04847	5.83896	7.20044	8.40179	60.2566	61.1776	62.0913	62.9873	63.9028	64.8336	65.7999	66.6846	67.4272	68.1567	68.9593	70.6261	72.7174	74.3236	75.4579	76.3909
7.7	6.31574	7.39067	8.37099	9.3073	10.2639	11.2617	12.2896	13.4014	14.5324	15.6054	16.539	18.3917	20.634	22.46	24.2107	25.5378	76.2276	77.2933	78.261	79.1814	80.1196	81.0969	82.1019	83.1898	84.2926	85.3288	86.2112	88.0032	90.1734	91.9114	93.5636	94.7569
7.8	16.5932	17.7711	18.9327	20.0782	21.1448	22.156	23.1909	24.2594	25.4097	26.6214	27.9083	30.0372	32.1248	33.9155	35.6354	37.3996	86.0801	87.2619	88.4268	89.5751	90.6421	91.6515	92.6843	93.7511	94.9011	96.1135	97.4024	99.533	101.609	103.385	105.091	106.848
7.9	19.292	20.4918	21.7147	22.9654	24.2592	25.5919	26.825	27.9654	29.1487	30.4168	31.7913	34.2725	36.5776	38.1964	39.8686	41.5822	88.6705	89.8768	91.1067	92.365	93.6673	95.0096	96.251	97.3981	98.5896	99.8688	101.259	103.766	106.09	107.714	109.398	111.134
8	17.2398	18.5524	19.7716	20.9966	22.2886	23.6606	25.1285	26.6618	28.0889	29.3846	30.7883	33.447	36.1591	38.2842	39.97	42.0239	86.8585	88.1784	89.404	90.6354	91.9348	93.3155	94.7943	96.3405	97.7799	99.0866	100.504	103.189	105.929	108.076	109.778	111.868
8.1	10.6761	12.086	13.4989	14.9264	16.3095	17.676	19.1006	20.583	22.1756	23.8146	25.2936	27.6772	30.4608	33.0846	35.6115	37.5851	81.0789	82.4951	83.9146	85.3486	86.7376	88.1096	89.5407	91.0308	92.6334	94.284	95.7727	98.1679	100.968	103.613	106.166	108.161
8.2	2.53093	3.88653	5.27795	6.73122	8.28365	9.92929	11.5168	13.0294	14.5714	16.057	17.2762	19.6116	22.1052	24.5058	27.0665	29.6398	73.8102	75.1697	76.5654	78.0232	79.5807	81.232	82.8244	84.3407	85.8868	87.3759	88.5951	90.9344	93.427	95.8296	98.4001	100.989
8.3	-6.45039	-4.99438	-3.63336	-2.28115	-0.858113	0.686738	2.36784	4.16178	5.67488	6.66827	7.38678	9.20142	12.2607	14.3179	16.5196	18.7783	65.7459	67.2056	68.5694	69.9239	71.349	72.8963	74.5803	76.3778	77.8907	78.8766	79.5822	81.3868	84.4413	86.4818	88.6705	90.9196
8.4	-16.0491	-14.6499	-13.2355	-11.7943	-10.3179	-8.83821	-7.29876	-5.80272	-4.61312	-3.86618	-3.56621	-2.73998	0.434793	3.04334	5.22014	7.66066	57.08	58.4815	59.8983	61.3415	62.8196	64.2996	65.8388	67.3329	68.5161	69.2497	69.5279	70.3284	73.4868	76.0746	78.2237	80.6408
8.5	-25.7886	-24.5071	-23.2059	-21.8709	-20.4493	-18.9067	-17.3247	-16.0531	-15.2661	-14.8894	-14.7556	-14.762	-12.269	-9.43308	-7.33673	-5.21786	48.2819	49.5643	50.8664	52.2023	53.6246	55.1674	56.7483	58.014	58.7878	59.1448	59.2526	59.2114	61.6724	64.4776	66.5357	68.6113
8.6	-35.5113	-34.2639	-33.0311	-31.832	-30.6047	-29.2909	-27.9039	-26.6889	-26.0847	-25.9417	-25.9785	-26.0357	-24.2683	-21.7395	-19.3311	-17.4875	39.5027	40.7508	41.984	43.1829	44.4097	45.7222	47.1063	48.3135	48.9011	49.0199	48.9529	48.8592	50.5853	53.0713	55.4356	57.2245
8.7	-45.0957	-43.9316	-42.7469	-41.5835	-40.4726	-39.3215	-38.1712	-37.2666	-36.7173	-36.636	-36.7685	-36.8553	-35.4419	-32.871	-30.7834	-28.7537	30.8585	32.0224	33.2073	34.3704	35.4803	36.6295	37.7756	38.6695	39.2007	39.2562	39.0911	38.9658	40.3353	42.8571	44.891	46.8624
8.8	-54.4173	-53.3519	-52.2843	-51.2145	-50.1518	-49.1005	-48.0845	-47.282	-46.8094	-46.6654	-46.8893	-47.0017	-46.0562	-43.2968	-41.0355	-39.202	22.469	23.5337	24.6005	25.6697	26.7315	27.7809	28.7922	29.583	30.0362	30.1544	29.8969	29.7449	30.6453	33.3517	35.5558	37.3253
8.9	-63.439	-62.4561	-61.4988	-60.5474	-59.5623	-58.5939	-57.6391	-56.8576	-56.3502	-56.1106	-56.2587	-56.4521	-56.0505	-53.1503	-50.7628	-48.8142	14.3678	15.3494	16.3055	17.2557	18.2395	19.2061	20.1566	20.9266	21.4143	21.628	21.447	21.2137	21.5693	24.415	26.742	28.6243
9	-72.1399	-71.2255	-70.3375	-69.481	-68.6042	-67.7213	-66.8512	-66.0459	-65.4862	-65.1403	-65.0494	-65.2692	-65.1106	-62.4333	-59.886	-57.964	6.57283	7.48548	8.3718	9.22659	10.1018	10.9827	11.849	12.644	13.1844	13.5046	13.5638	13.3047	13.4177	16.0399	18.5242	20.3782
9.1	-80.5282	-79.6516	-78.8176	-78.033	-77.251	-76.4482	-75.6585	-74.8649	-74.2212	-73.7866	-73.498	-73.5437	-73.5097	-71.3683	-68.592	-66.5431	-0.926273	-0.0519504	0.779943	1.56256	2.34253	3.14315	3.92949	4.71416	5.33983	5.74943	6.00727	5.92387	5.91308	8.00006	10.7125	12.6923
9.2	-88.6299	-87.771	-86.9885	-86.2434	-85.524	-84.7939	-84.0561	-83.3023	-82.5926	-82.0624	-81.682	-81.489	-81.4267	-80.0262	-76.9472	-74.8319	-8.15702	-7.30088	-6.52089	-5.77807	-5.06101	-4.33334	-3.59874	-2.85234	-2.15898	-1.65268	-1.30193	-1.14484	-1.12564	0.222046	3.23703	5.28299
9.3	-96.4595	-95.5919	-94.8535	-94.146	-93.4854	-92.8209	-92.134	-91.4267	-90.6895	-90.0758	-89.5942	-89.2595	-89.0964	-88.2481	-84.9665	-82.9125	-15.1346	-14.2703	-13.5348	-12.83	-12.172	-11.5101	-10.8264	-10.1252	-9.40235	-8.81097	-8.35763	-8.05703	-7.93499	-7.13664	-3.9189	-1.93383
9.4	-104.01	-103.156	-102.442	-101.778	-101.148	-100.534	-99.9059	-99.2501	-98.5184	-97.8324	-97.26	-96.8098	-96.5853	-96.0783	-92.871	-90.6513	-21.8518	-21.0021	-20.2915	-19.6308	-19.0036	-18.3927	-17.7673	-17.1166	-16.3971	-15.7317	-15.1861	-14.7681	-14.5825	-14.1222	-10.978	-8.82618
9.5	-111.3	-110.466	-109.767	-109.147	-108.545	-107.976	-107.397	-106.79	-106.089	-105.343	-104.695	-104.164	-103.828	-103.499	-100.703	-98.1743	-28.328	-27.4981	-26.8035	-26.1861	-25.588	-25.022	-24.4459	-23.8432	-23.1527	-22.4252	-21.8027	-21.3019	-21.0023	-20.7175	-17.9823	-15.5201
9.6	-118.369	-117.57	-116.884	-116.289	-115.716	-115.177	-114.638	-114.081	-113.439	-112.661	-111.914	-111.321	-110.865	-110.526	-108.256	-105.549	-34.6	-33.8063	-33.124	-32.5334	-31.9628	-31.4274	-30.8918	-30.3391	-29.7055	-28.9437	-28.2205	-27.6561	-27.2348	-26.9367	-24.7246	-22.0827
9.7	-125.226	-124.466	-123.798	-123.226	-122.683	-122.167	-121.664	-121.151	-120.576	-119.805	-118.987	-118.291	-117.762	-117.348	-115.464	-112.689	-40.6766	-39.9216	-39.2584	-38.6904	-38.1506	-37.6383	-37.1381	-36.6299	-36.0616	-35.3047	-34.508	-33.8396	-33.3435	-32.9681	-31.137	-28.4267
9.8	-131.901	-131.175	-130.528	-129.977	-129.462	-128.969	-128.498	-128.024	-127.513	-126.794	-125.933	-125.138	-124.497	-124.038	-122.452	-119.567	-46.5847	-45.8639	-45.2213	-44.6743	-44.1636	-43.6739	-43.2065	-42.7365	-42.2315	-41.5238	-40.6828	-39.9136	-39.3033	-38.8807	-37.3438	-34.5213
9.9	-138.419	-137.726	-137.098	-136.565	-136.073	-135.598	-135.154	-134.711	-134.253	-133.617	-132.747	-131.893	-131.137	-130.561	-129.302	-126.356	-52.3474	-51.6593	-51.0362	-50.5067	-50.0192	-49.5477	-49.1074	-48.6685	-48.2156	-47.5892	-46.7366	-45.9061	-45.1788	-44.6376	-43.4232	-40.5377
10	-144.807	-144.141	-143.53	-143.013	-142.542	-142.083	-141.66	-141.239	-140.817	-140.269	-139.43	-138.533	-137.722	-136.996	-135.937	-133.099	-57.9875	-57.3266	-56.721	-56.2077	-55.7406	-55.2854	-54.8663	-54.4488	-54.0314	-53.4914	-52.6683	-51.7926	-51.0089	-50.3141	-49.296	-46.5161
10.1	-151.088	-150.446	-149.852	-149.347	-148.892	-148.446	-148.039	-147.633	-147.235	-146.762	-145.988	-145.073	-144.223	-143.419	-142.395	-139.71	-63.5265	-62.8896	-62.3009	-61.7992	-61.3481	-60.9057	-60.5028	-60.1005	-59.7073	-59.2404	-58.48	-57.5848	-56.7594	-55.9848	-54.9984	-52.3664
10.2	-157.281	-156.66	-156.083	-155.588	-155.146	-154.71	-154.315	-153.918	-153.535	-153.112	-152.421	-151.524	-150.633	-149.81	-148.815	-146.215	-68.9797	-68.3639	-67.7915	-67.3004	-66.8618	-66.4301	-66.0384	-65.6455	-65.2663	-64.8499	-64.1697	-63.2892	-62.4212	-61.6252	-60.6641	-58.1144
10.3	-163.402	-162.801	-162.24	-161.754	-161.322	-160.897	-160.509	-160.121	-159.746	-159.356	-158.751	-157.886	-156.982	-156.147	-155.225	-152.655	-74.3605	-73.7644	-73.2076	-72.7251	-72.2975	-71.8755	-71.4918	-71.107	-70.7357	-70.3516	-69.7546	-68.9059	-68.0215	-67.2114	-66.3198	-63.7959
10.4	-169.466	-168.883	-168.337	-167.858	-167.436	-167.021	-166.641	-166.261	-165.89	-165.522	-164.991	-164.164	-163.267	-162.424	-161.559	-158.987	-79.6797	-79.1019	-78.5598	-78.0851	-77.6663	-77.2551	-76.8785	-76.5015	-76.1351	-75.7716	-75.2473	-74.4342	-73.5549	-72.7342	-71.8957	-69.3663
10.5	-175.485	-174.92	-174.387	-173.915	-173.5	-173.096	-172.724	-172.353	-171.988	-171.637	-171.163	-170.372	-169.485	-168.648	-167.825	-165.303	-84.9491	-84.388	-83.859	-83.3908	-82.9792	-82.5787	-82.2096	-81.8422	-81.4811	-81.134	-80.6667	-79.8862	-79.0151	-78.1976	-77.3978	-74.9149
10.6	178.526	179.076	179.596	-179.938	-179.528	-179.135	-178.77	-178.411	-178.054	-177.717	-177.284	-176.533	-175.644	-174.813	-174.036	-171.686	-90.1669	-89.6217	-89.1053	-88.6427	-88.2366	-87.8462	-87.4845	-87.1291	-86.775	-86.4419	-86.014	-85.272	-84.3969	-83.5826	-82.8264	-80.5101
10.7	172.556	173.09	173.599	174.06	174.465	174.849	175.205	175.549	175.897	176.219	176.62	177.331	178.228	179.076	179.821	-178.063	-95.3343	-94.8039	-94.2989	-93.8409	-93.439	-93.0586	-92.7053	-92.3639	-92.0196	-91.7005	-91.304	-90.6005	-89.7149	-88.8822	-88.1542	-86.0662
10.8	166.591	167.11	167.607	168.064	168.466	168.84	169.188	169.52	169.85	170.157	170.529	171.194	172.104	172.981	173.736	175.605	-100.464	-99.9481	-99.4547	-99.0011	-98.6023	-98.2308	-97.8857	-97.5564	-97.2298	-96.9252	-96.5565	-95.898	-94.9976	-94.1337	-93.3922	-91.5469
10.9	160.625	161.129	161.613	162.064	162.462	162.829	163.168	163.488	163.796	164.091	164.437	165.056	165.959	166.872	167.65	169.28	-105.566	-105.066	-104.585	-104.137	-103.741	-103.377	-103.041	-102.723	-102.418	-102.125	-101.783	-101.168	-100.273	-99.3706	-98.6046	-96.9927
11	154.65	155.138	155.609	156.052	156.445	156.807	157.136	157.444	157.729	158.013	158.335	158.907	159.781	160.718	161.541	162.947	-110.654	-110.169	-109.701	-109.26	-108.87	-108.51	-108.184	-107.878	-107.595	-107.314	-106.994	-106.426	-105.558	-104.629	-103.815	-102.424
11.1	148.661	149.131	149.587	150.02	150.404	150.761	151.079	151.378	151.646	151.914	152.217	152.748	153.584	154.494	155.312	156.535	-115.739	-115.271	-114.817	-114.387	-114.006	-113.651	-113.335	-113.038	-112.771	-112.506	-112.204	-111.677	-110.845	-109.941	-109.13	-107.916
