Frequency (GHz)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 10 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 11 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 12 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 13 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 14 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 15 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 16 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 17 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 18 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 19 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 20 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 21 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 22 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 23 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 24 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 25 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 10 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 11 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 12 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 13 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 14 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 15 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 16 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 17 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 18 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 19 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 20 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 21 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 22 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 23 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 24 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 25 dBm)
6.3	66.9539	67.6814	68.3182	68.9547	69.5775	70.2351	70.9263	71.6502	72.4639	73.2885	74.0993	74.7954	75.4917	76.4654	77.1699	77.5809	113.653	114.388	115.032	115.676	116.307	116.975	117.677	118.415	119.245	120.089	120.922	121.643	122.367	123.373	124.112	124.56
6.4	56.8906	57.741	58.5511	59.3233	60.064	60.7358	61.415	62.1141	62.8388	63.6537	64.5173	65.4028	66.5481	67.5419	68.0553	68.3787	104.355	105.211	106.028	106.806	107.554	108.233	108.92	109.629	110.365	111.194	112.074	112.98	114.15	115.166	115.699	116.043
6.5	46.1759	47.0514	47.8761	48.6925	49.5347	50.4034	51.2137	51.9099	52.591	53.3158	54.1197	55.0182	56.3809	57.7328	58.4841	58.7915	94.4002	95.2797	96.1084	96.9293	97.7767	98.6514	99.4679	100.17	100.857	101.589	102.403	103.314	104.693	106.061	106.825	107.139
6.6	34.1236	34.9922	35.8094	36.622	37.4448	38.2949	39.1831	40.1415	41.0536	41.8147	42.5192	43.3249	44.7693	46.143	47.075	47.8392	83.2998	84.17	84.9889	85.8032	86.6281	87.4806	88.3718	89.3343	90.2503	91.0139	91.7205	92.5294	93.9789	95.3561	96.2888	97.0534
6.7	21.0049	22.0173	22.948	23.802	24.5867	25.3916	26.2297	27.1022	28.0441	29.0171	29.9828	30.8149	32.2233	33.5233	34.4248	35.1635	71.1191	72.1321	73.063	73.9168	74.7005	75.5042	76.3411	77.2123	78.1534	79.1254	80.0895	80.9169	82.3178	83.607	84.4935	85.2145
6.8	7.3292	8.34434	9.30266	10.2122	11.0892	11.8866	12.6235	13.383	14.186	15.087	16.0542	17.1263	18.9189	20.1126	20.9377	21.6449	58.3782	59.3918	60.3483	61.2556	62.1297	62.923	63.6543	64.4073	65.203	66.0963	67.0547	68.116	69.8934	71.0613	71.8549	72.5258
6.9	-6.40106	-5.4679	-4.57488	-3.70893	-2.83361	-1.96289	-1.14906	-0.44893	0.244218	0.988931	1.8267	2.82027	4.79568	6.34754	7.09697	7.80284	45.5939	46.5228	47.4113	48.2722	49.1418	50.0059	50.8112	51.5004	52.1804	52.91	53.7304	54.7032	56.6519	58.1681	58.869	59.5196
7	-19.7995	-18.9366	-18.0928	-17.2793	-16.4698	-15.6619	-14.8211	-14.0194	-13.3533	-12.7116	-12.0007	-11.0963	-9.12332	-7.49307	-6.38376	-5.712	33.1744	34.03	34.8664	35.6717	36.4718	37.2689	38.0973	38.884	39.5314	40.1505	40.8347	41.7073	43.6389	45.2179	46.2649	46.8596
7.1	-32.387	-31.5215	-30.7272	-29.9574	-29.2118	-28.457	-27.6881	-26.8703	-26.1007	-25.4673	-24.8719	-24.0869	-22.1808	-20.5747	-19.2908	-18.3286	21.7643	22.6196	23.4028	24.1605	24.8923	25.6314	26.3822	27.1795	27.9247	28.5278	29.0861	29.8266	31.6744	33.2101	34.4121	35.2765
7.2	-43.3189	-42.429	-41.6522	-40.9145	-40.212	-39.4966	-38.7713	-38.0069	-37.2186	-36.4636	-35.8421	-35.0989	-33.2782	-31.7373	-30.4864	-29.2573	12.0675	12.9436	13.7049	14.4258	15.109	15.8024	16.5024	17.238	17.9933	18.7087	19.2812	19.9637	21.7041	23.151	24.2926	25.3958
7.3	-51.8626	-50.9393	-50.119	-49.3867	-48.7029	-48.0227	-47.3305	-46.6255	-45.8466	-45.0442	-44.2392	-43.3011	-41.5468	-40.1186	-38.9015	-37.6951	4.88591	5.79055	6.59026	7.2996	7.95682	8.60667	9.26407	9.92929	10.663	11.4119	12.1525	13.0092	14.6546	15.9571	17.0295	18.0683
7.4	-56.6123	-55.6665	-54.8044	-54.0021	-53.2496	-52.5811	-51.9142	-51.2239	-50.4891	-49.6654	-48.8063	-47.4535	-45.5694	-44.2572	-43.0583	-41.8652	1.74794	2.66864	3.50358	4.27519	4.99243	5.6197	6.23949	6.87584	7.54848	8.29951	9.07181	10.3163	12.057	13.2015	14.208	15.179
7.5	-54.8971	-53.9529	-53.047	-52.1448	-51.2538	-50.4003	-49.6499	-48.9332	-48.1866	-47.3784	-46.4892	-44.891	-42.7298	-41.3386	-40.1658	-38.8988	5.42138	6.33422	7.20593	8.06998	8.917	9.72003	10.4108	11.0582	11.7244	12.4386	13.2168	14.6748	16.6611	17.8416	18.7678	19.7531
7.6	-44.1338	-43.186	-42.2406	-41.3098	-40.356	-39.3802	-38.3638	-37.4192	-36.6031	-35.7837	-34.8774	-33.0834	-30.8345	-29.0434	-27.6807	-26.4793	18.1019	19.0216	19.9365	20.8326	21.7474	22.6787	23.6453	24.5305	25.2726	26.0031	26.8059	28.4729	30.5653	32.1727	33.309	34.2427
7.7	-28.6908	-27.6264	-26.6369	-25.6999	-24.7436	-23.7454	-22.7177	-21.606	-20.475	-19.4014	-18.4676	-16.6151	-14.3727	-12.5463	-10.7955	-9.46713	34.0236	35.079	36.056	36.9771	37.9152	38.8931	39.8981	40.9861	42.0893	43.1264	44.0095	45.8018	47.9729	49.7119	51.3652	52.5609
7.8	-18.5371	-17.3658	-16.1973	-15.0517	-13.9876	-12.9735	-11.9394	-10.8703	-9.72032	-8.50879	-7.22203	-5.092	-3.0045	-1.21381	0.50594	2.27014	43.8287	45.0039	46.1759	47.3245	48.3891	49.4016	50.4339	51.5015	52.6515	53.8641	55.1532	57.2856	59.3624	61.1389	62.8458	64.604
7.9	-15.9656	-14.7659	-13.5518	-12.2922	-10.9982	-9.66563	-8.43085	-7.2975	-6.10747	-4.83943	-3.46469	-0.983099	1.32374	2.94219	4.61387	6.3269	46.3706	47.5769	48.7981	50.0654	51.3681	52.7104	53.9536	55.0939	56.2925	57.572	58.9622	61.4707	63.7966	65.4208	67.1056	68.8418
8	-18.1495	-16.8358	-15.616	-14.3909	-13.0991	-11.7277	-10.2601	-8.72568	-7.29671	-6.00091	-4.5975	-1.93886	0.774425	2.90203	4.58778	6.63979	44.5064	45.8277	47.0539	48.2855	49.5848	50.9651	52.4437	53.9912	55.4327	56.7397	58.1575	60.8424	63.5838	65.7345	67.4372	69.5259
8.1	-24.8811	-23.4709	-22.0574	-20.6328	-19.2441	-17.8773	-16.4523	-14.9699	-13.3775	-11.7391	-10.2584	-7.87592	-5.09163	-2.46588	0.0572594	2.03569	38.6404	40.057	41.4771	42.9083	44.303	45.6754	47.107	48.5972	50.1999	51.85	53.3408	55.7351	58.5362	61.1839	63.7338	65.7334
8.2	-33.2057	-31.8498	-30.4582	-29.0048	-27.4524	-25.8056	-24.2156	-22.7029	-21.1611	-19.6765	-18.4585	-16.125	-13.6326	-11.2312	-8.67154	-6.09669	31.2734	32.6334	34.0293	35.4872	37.0448	38.6974	40.2923	41.809	43.3549	44.8432	46.0614	48.3991	50.8908	53.2946	55.8645	58.4553
8.3	-42.3798	-40.9238	-39.5628	-38.2085	-36.7859	-35.2402	-33.5605	-31.7664	-30.2532	-29.2651	-28.5533	-26.7486	-23.6932	-21.636	-19.4348	-17.1741	23.0973	24.557	25.9209	27.2775	28.7023	30.2504	31.9332	33.7309	35.244	36.2247	36.9237	38.7185	41.7692	43.8101	45.9986	48.2501
8.4	-52.1808	-50.7824	-49.3687	-47.9272	-46.4513	-44.9719	-43.4322	-41.9373	-40.7555	-40.015	-39.7218	-38.9091	-35.7372	-33.1316	-30.9587	-28.5128	14.3095	15.7102	17.1263	18.5699	20.0475	21.5273	23.0668	24.5598	25.7353	26.4625	26.734	27.521	30.6766	33.2617	35.4071	37.8299
8.5	-62.1267	-60.8459	-59.546	-58.2126	-56.7924	-55.2512	-53.6696	-52.4006	-51.6175	-51.2443	-51.1147	-51.124	-48.6397	-45.7997	-43.7009	-41.5919	5.38461	6.66642	7.96725	9.30155	10.7224	12.2639	13.8445	15.1075	15.8776	16.231	16.3348	16.2909	18.7432	21.5528	23.6135	25.6795
8.6	-72.0567	-70.812	-69.5785	-68.3806	-67.1549	-65.8431	-64.459	-63.2474	-62.6424	-62.5004	-62.5387	-62.5964	-60.832	-58.305	-55.8972	-54.0508	-3.52267	-2.27715	-1.04327	0.154512	1.37972	2.69026	4.07151	5.27531	5.86375	5.9816	5.9132	5.81919	7.54243	10.0269	12.3907	14.1826
8.7	-81.849	-80.6878	-79.5052	-78.341	-77.2311	-76.0816	-74.9332	-74.0298	-73.4988	-73.3983	-73.5303	-73.6158	-72.2131	-69.6402	-67.5506	-65.5342	-12.2963	-11.1352	-9.95246	-8.7885	-7.67966	-6.53197	-5.3878	-4.49499	-3.98203	-3.90722	-4.07183	-4.19564	-2.83676	-0.312783	1.72336	3.68154
8.8	-91.3779	-90.3169	-89.249	-88.1788	-87.1173	-86.0678	-85.0532	-84.251	-83.7775	-83.6306	-83.853	-83.9656	-83.031	-80.2736	-78.0093	-76.1764	-20.8158	-19.7556	-18.6883	-17.6188	-16.5582	-15.5106	-14.5006	-13.71	-13.2559	-13.1347	-13.3907	-13.5427	-12.6531	-9.94862	-7.74135	-5.97227
8.9	-100.603	-99.6911	-98.6646	-97.716	-96.7316	-95.7664	-94.8114	-94.0292	-93.52	-93.278	-93.4253	-93.6174	-93.2229	-90.3327	-87.9422	-85.997	-29.0442	-28.1337	-27.1087	-26.1613	-25.1781	-24.2147	-23.264	-22.4932	-22.0037	-21.7876	-21.9677	-22.1996	-21.851	-19.0151	-16.685	-14.8059
9	-109.504	-108.595	-107.704	-106.848	-105.972	-105.091	-104.222	-103.416	-102.854	-102.505	-102.415	-102.635	-102.478	-99.8147	-97.2657	-95.3463	-36.9654	-36.058	-35.1689	-34.3142	-33.4405	-32.5609	-31.6957	-30.9007	-30.3577	-30.034	-29.9755	-30.2351	-30.1233	-27.5152	-25.0291	-23.1776
9.1	-118.086	-117.21	-116.378	-115.593	-114.812	-114.011	-113.222	-112.428	-111.783	-111.343	-111.053	-111.102	-111.068	-108.938	-106.165	-104.116	-44.5868	-43.7132	-42.8831	-42.0997	-41.321	-40.5218	-39.7363	-38.9514	-38.3239	-37.909	-37.65	-37.7362	-37.7474	-35.6717	-32.9623	-30.9823
9.2	-126.384	-125.541	-124.754	-123.99	-123.272	-122.543	-121.806	-121.052	-120.34	-119.805	-119.421	-119.232	-119.169	-117.773	-114.702	-112.585	-51.9434	-51.1033	-50.3189	-49.5574	-48.8416	-48.1152	-47.3815	-46.6351	-45.9389	-45.4278	-45.0739	-44.9205	-44.9001	-43.5574	-40.55	-38.5028
9.3	-134.383	-133.543	-132.778	-132.073	-131.411	-130.752	-130.062	-129.356	-128.616	-127.999	-127.51	-127.174	-127.008	-126.157	-122.877	-120.824	-59.0242	-58.1866	-57.4251	-56.7223	-56.0637	-55.4075	-54.7206	-54.0204	-53.2949	-52.6994	-52.2393	-51.9369	-51.812	-51.011	-47.7953	-45.8107
9.4	-142.102	-141.249	-140.542	-139.879	-139.243	-138.63	-138.003	-137.348	-136.618	-135.927	-135.348	-134.888	-134.656	-134.144	-130.935	-128.71	-65.8458	-64.9967	-64.2934	-63.6326	-62.9995	-62.3896	-61.766	-61.1165	-60.3977	-59.728	-59.1756	-58.7475	-58.5544	-58.0896	-54.943	-52.7859
9.5	-149.551	-148.719	-148.019	-147.4	-146.799	-146.23	-145.656	-145.046	-144.349	-143.601	-142.947	-142.405	-142.053	-141.715	-138.921	-136.382	-72.4198	-71.5915	-70.8958	-70.2799	-69.6814	-69.1159	-68.5454	-67.9401	-67.2525	-66.5232	-65.8946	-65.3825	-65.0681	-64.7734	-62.04	-59.5681
9.6	-156.77	-155.972	-155.286	-154.692	-154.119	-153.579	-153.042	-152.486	-151.847	-151.069	-150.318	-149.717	-149.248	-148.896	-146.626	-143.914	-78.7839	-77.99	-77.3083	-76.7177	-76.1483	-75.6119	-75.0779	-74.5258	-73.8956	-73.134	-72.4067	-71.8338	-71.3996	-71.0888	-68.8759	-66.2295
9.7	-163.772	-163.011	-162.341	-161.768	-161.225	-160.709	-160.206	-159.694	-159.122	-158.353	-157.533	-156.831	-156.292	-155.868	-153.982	-151.205	-84.9502	-84.1934	-83.5281	-82.959	-82.4199	-81.9068	-81.4072	-80.9	-80.3344	-79.5796	-78.7809	-78.1064	-77.5997	-77.2144	-75.3819	-72.6688
9.8	-170.573	-169.846	-169.214	-168.648	-168.156	-167.641	-167.17	-166.697	-166.188	-165.471	-164.61	-163.812	-163.164	-162.696	-161.109	-158.225	-90.9314	-90.2095	-89.5821	-89.0204	-88.5321	-88.0207	-87.5533	-87.0842	-86.5807	-85.8754	-85.034	-84.262	-83.6445	-83.2129	-81.6752	-78.8538
9.9	-177.211	-176.52	-175.891	-175.357	-174.866	-174.402	-173.947	-173.505	-173.048	-172.416	-171.545	-170.689	-169.93	-169.348	-168.084	-165.142	-96.7646	-96.0783	-95.4542	-94.9247	-94.4374	-93.9773	-93.5258	-93.0876	-92.6359	-92.0133	-91.1598	-90.3279	-89.5973	-89.0491	-87.8308	-84.9487
10	176.288	176.951	177.558	178.081	178.552	179.008	179.433	179.855	-179.724	-179.178	-178.341	-177.443	-176.631	-175.901	-174.838	-172.002	-102.471	-101.814	-101.212	-100.692	-100.225	-99.7727	-99.3517	-98.934	-98.5174	-97.979	-97.1575	-96.2815	-95.4962	-94.7982	-93.7755	-90.9973
10.1	169.9	170.542	171.135	171.641	172.095	172.541	172.948	173.354	173.751	174.224	174.995	175.91	176.76	177.566	178.593	-178.722	-108.073	-107.436	-106.848	-106.346	-105.896	-105.453	-105.05	-104.648	-104.255	-103.789	-103.031	-102.136	-101.31	-100.534	-99.5442	-96.9131
10.2	163.605	164.226	164.803	165.298	165.74	166.175	166.571	166.968	167.351	167.772	168.462	169.358	170.249	171.072	172.069	174.669	-113.585	-112.969	-112.397	-111.906	-111.468	-111.036	-110.645	-110.251	-109.873	-109.457	-108.778	-107.899	-107.031	-106.235	-105.272	-102.722
10.3	157.354	157.986	158.548	159.034	159.465	159.891	160.278	160.667	161.042	161.431	162.035	162.898	163.802	164.636	165.559	168.13	-119.055	-118.428	-117.87	-117.388	-116.961	-116.538	-116.155	-115.77	-115.399	-115.015	-114.42	-113.572	-112.689	-111.879	-110.987	-108.462
10.4	151.225	151.808	152.354	152.833	153.255	153.67	154.05	154.431	154.801	155.169	155.699	156.524	157.42	158.261	159.126	161.699	-124.4	-123.822	-123.28	-122.805	-122.387	-121.975	-121.599	-121.221	-120.855	-120.492	-119.968	-119.157	-118.279	-117.46	-116.622	-114.092
10.5	145.107	145.674	146.201	146.675	147.086	147.498	147.87	148.241	148.606	148.957	149.43	150.219	151.104	151.939	152.761	155.283	-129.729	-129.167	-128.643	-128.173	-127.765	-127.358	-126.988	-126.621	-126.259	-125.912	-125.446	-124.667	-123.798	-122.983	-122.185	-119.701
10.6	139.018	139.531	140.088	140.55	140.955	141.356	141.721	142.08	142.438	142.775	143.207	143.957	144.842	145.67	146.444	148.794	-135.009	-134.5	-133.947	-133.489	-133.087	-132.689	-132.327	-131.971	-131.617	-131.283	-130.856	-130.116	-129.244	-128.433	-127.68	-125.363
10.7	132.936	133.429	133.979	134.44	134.845	135.228	135.584	135.928	136.277	136.6	137	137.71	138.603	139.445	140.186	142.301	-140.248	-139.759	-139.213	-138.755	-138.353	-137.973	-137.619	-137.279	-136.933	-136.613	-136.217	-135.516	-134.634	-133.806	-133.083	-130.996
10.8	126.823	127.326	127.867	128.323	128.724	129.098	129.447	129.779	130.109	130.417	130.789	131.452	132.358	133.227	133.976	135.841	-145.485	-144.986	-144.449	-143.995	-143.597	-143.226	-142.88	-142.551	-142.224	-141.919	-141.55	-140.893	-139.997	-139.14	-138.405	-136.564
10.9	120.753	121.214	121.74	122.191	122.588	122.955	123.293	123.614	123.922	124.218	124.564	125.183	126.082	126.985	127.753	129.378	-150.65	-150.192	-149.669	-149.221	-148.826	-148.463	-148.127	-147.808	-147.503	-147.21	-146.867	-146.253	-145.362	-144.468	-143.712	-142.106
11	114.634	115.085	115.592	116.035	116.427	116.789	117.118	117.426	117.711	117.995	118.317	118.889	119.761	120.691	121.499	122.896	-155.838	-155.389	-154.886	-154.445	-154.056	-153.696	-153.37	-153.064	-152.781	-152.5	-152.18	-151.611	-150.746	-149.824	-149.025	-147.642
11.1	108.483	108.955	109.415	109.835	110.192	110.588	110.892	111.204	111.473	111.74	112.043	112.573	113.409	114.316	115.127	116.341	-161.039	-160.57	-160.113	-159.695	-159.34	-158.947	-158.645	-158.335	-158.068	-157.803	-157.502	-156.974	-156.143	-155.242	-154.438	-153.233
